date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:26%20GMT	https://biit.edu.pk/robots.txt		(from )
20:02:27	74548/74548	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:27%20GMT	https://biit.edu.pk/	D:/institute/biit.edu.pk/index.html	(from )
20:02:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:29%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_16x16.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_16x16.2.delayed	(from https://biit.edu.pk/)
20:02:28	76202/76202	---M--	200	added ('OK')	image/webp	etag:%22e60081-129aa-64488ada86800%22	https://biit.edu.pk/assets/img/about/BIIT_logo.webp	D:/institute/biit.edu.pk/assets/img/about/BIIT_logo.webp	(from https://biit.edu.pk/)
20:02:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:29%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_32x32.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_32x32.png	(from https://biit.edu.pk/)
20:02:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:30%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_48x48.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_48x48.png	(from https://biit.edu.pk/)
20:02:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:30%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_64x64.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_64x64.png	(from https://biit.edu.pk/)
20:02:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:30%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_128x128.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_128x128.png	(from https://biit.edu.pk/)
20:02:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:30%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_256x256.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_256x256.png	(from https://biit.edu.pk/)
20:02:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:31%20GMT	https://biit.edu.pk/mnt/data/biit_favicon_pack/favicon_512x512.png	D:/institute/biit.edu.pk/mnt/data/biit_favicon_pack/favicon_512x512.png	(from https://biit.edu.pk/)
20:02:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:31%20GMT	https://biit.edu.pk/manifest.json	D:/institute/biit.edu.pk/manifest.json	(from https://biit.edu.pk/)
20:02:31	61033/61033	---M-Z	200	added ('OK')	text/css	etag:%22e60021-ee69-64488ada86800-gzip%22	https://biit.edu.pk/assets/css/animate.min.css	D:/institute/biit.edu.pk/assets/css/animate.min.css	(from https://biit.edu.pk/)
20:02:31	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22e60022-260c5-64488ada86800-gzip%22	https://biit.edu.pk/assets/css/bootstrap.min.css	D:/institute/biit.edu.pk/assets/css/bootstrap.min.css	(from https://biit.edu.pk/)
20:02:31	27044/27044	---M-Z	200	added ('OK')	text/css	etag:%22e60026-69a4-64488ada86800-gzip%22	https://biit.edu.pk/assets/css/inpage-style.css	D:/institute/biit.edu.pk/assets/css/inpage-style.css	(from https://biit.edu.pk/)
20:02:31	6919/6919	---M-Z	200	added ('OK')	text/css	etag:%22e6002a-1b07-64488ada86800-gzip%22	https://biit.edu.pk/assets/css/responsive.css	D:/institute/biit.edu.pk/assets/css/responsive.css	(from https://biit.edu.pk/)
20:02:31	169513/169513	---M-Z	200	added ('OK')	text/css	etag:%22e6002d-29629-64488ada86800-gzip%22	https://biit.edu.pk/assets/css/style.css	D:/institute/biit.edu.pk/assets/css/style.css	(from https://biit.edu.pk/)
20:02:32	351352/351352	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2010%20Dec%202025%2015:02:33%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/institute/connect.facebook.net/en_US/fbevents.js	(from https://biit.edu.pk/)
20:02:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:33%20GMT	https://biit.edu.pk/assets/img/about/0.png	D:/institute/biit.edu.pk/assets/img/about/0.png	(from https://biit.edu.pk/)
20:02:33	74548/74548	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:33%20GMT	https://biit.edu.pk/index	D:/institute/biit.edu.pk/index-2.html	(from https://biit.edu.pk/)
20:02:33	83056/83056	---M--	200	added ('OK')	image/webp	etag:%22e600a7-14470-64488ad89e380%22	https://biit.edu.pk/assets/img/banner-2/BIIT%20banner.webp	D:/institute/biit.edu.pk/assets/img/banner-2/BIIT%20banner.webp	(from https://biit.edu.pk/)
20:02:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Dec%202025%2015:02:34%20GMT	https://biit.edu.pk/assets/img/about/Colored%20Logo.png	D:/institute/biit.edu.pk/assets/img/about/Colored%20Logo.13.delayed	(from https://biit.edu.pk/)
20:02:34	54364/54364	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:34%20GMT	https://biit.edu.pk/About-Us	D:/institute/biit.edu.pk/About-Us.html	(from https://biit.edu.pk/)
20:02:35	106943/106943	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:35%20GMT	https://biit.edu.pk/admission	D:/institute/biit.edu.pk/admission.html	(from https://biit.edu.pk/)
20:02:35	63690/63690	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:36%20GMT	https://biit.edu.pk/Contact-Us	D:/institute/biit.edu.pk/Contact-Us.html	(from https://biit.edu.pk/)
20:02:35	54801/54801	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:36%20GMT	https://biit.edu.pk/adp-degree	D:/institute/biit.edu.pk/adp-degree.html	(from https://biit.edu.pk/)
20:02:36	65349/65349	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:36%20GMT	https://biit.edu.pk/degree	D:/institute/biit.edu.pk/degree.html	(from https://biit.edu.pk/)
20:02:36	69128/69128	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:36%20GMT	https://biit.edu.pk/CSO	D:/institute/biit.edu.pk/CSO.html	(from https://biit.edu.pk/)
20:02:37	51945/51945	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:37%20GMT	https://biit.edu.pk/Download	D:/institute/biit.edu.pk/Download.html	(from https://biit.edu.pk/)
20:02:37	68024/68024	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Dec%202025%2015:02:37%20GMT	https://biit.edu.pk/News	D:/institute/biit.edu.pk/News.html	(from https://biit.edu.pk/)
